Study#,SL,Title,Year,Limitations & Future Works
S74,74,Code Duplication on Stack Overflow,2020,"Limitations [The authors explicitly acknowledge that their study presents only a preliminary investigation and is limited to exact code clones, noting that “extending the analysis to also cover other types of clones will be a logical next step,” which limits the completeness of the current findings (Section 4 Preliminary Analysis, p. 14); they also explicitly note limitations related to Stack Overflow as a platform, such as the lack of proper code versioning, bug tracking, and bulk edit support, which makes it difficult to consistently maintain duplicated code snippets and may influence the observed duplication patterns (Section 1 Introduction, pp. 13–14); additionally, the study focuses exclusively on Stack Overflow, which limits the generalizability of the observations to other online forums or code-hosting platforms (Section 5 Conclusion, p. 16)];

Future Work [The authors explicitly state that future work should investigate additional types of code clones (e.g., non-exact clones) on Stack Overflow, extend the analysis to better understand user behavior such as self-plagiarism and incentives for cloning successful answers, and develop tool support to automatically detect, link, and manage duplicated code snippets, including adding missing attribution and keeping snippets up to date with authoritative sources (Sections 3 Research Questions and 5 Conclusion, pp. 14–16)];"
S75,75,Generating Question Titles for Stack Overflow from Mined Code Snippets,2020,"Limitations [The authors explicitly acknowledge that the generated question titles are “still not perfect,” and that the proposed approach suffers from semantic drift in some cases, meaning the generated titles may deviate from the intended semantics of the code snippet (Section 7 Discussion, p. 33); they also explicitly note that their approach does not incorporate structural information of source code, such as abstract syntax trees (ASTs), because many Stack Overflow code snippets are not parsable, which limits the model’s ability to leverage richer code semantics (Section 7 Discussion, p. 33)];

Future Work [The authors explicitly state that future work will focus on incorporating more contextual information to reduce semantic drift and generate better question titles (Section 7 Discussion, p. 33); they also explicitly propose using program repair techniques to fix unparsable code snippets and then exploit structural code information (e.g., ASTs) to further improve title generation quality (Section 7 Discussion, p. 33)];"
S76,76,Large-Scale Question Tagging via Joint Question-Topic Embedding Learning,2020,"Limitations [The authors explicitly acknowledge that their proposed model and evaluation are conducted on a single large-scale collaborative CQA platform (Zhihu), which limits the generalizability of the findings to other CQA systems with different tagging practices or without explicit hierarchical topic structures (Section 1 Introduction; Section 5 Experiments, pp. 20–21); they also explicitly note that the effectiveness of the approach depends on the availability and quality of a predefined topic hierarchy (DAG), which may not exist or may be incomplete in other platforms such as Stack Overflow or Quora, posing a practical applicability limitation (Section 1 Introduction; Section 2 Related Work, pp. 21–22); additionally, the authors acknowledge that extremely sparse or rare topic tags remain challenging despite the proposed hierarchy-based knowledge transfer, indicating residual limitations in handling severe label imbalance (Section 5.5 On the DAG Structure, pp. 16–17)] ;

Future Work [The authors explicitly state that future work will explore modeling and constructing hierarchical topic structures for CQA sites that do not explicitly maintain DAG-based tag ontologies, such as Stack Overflow and Quora (Section 1 Introduction; Section 6 Discussion, pp. 21–22); they also explicitly propose extending the framework to other collaborative CQA platforms and domains to further validate robustness and generalizability (Section 6 Discussion, p. 22); additionally, they indicate future research directions on improving the handling of extremely sparse topic tags and further optimizing scalability for even larger tag spaces (Section 5.5 On the DAG Structure; Section 6 Discussion, pp. 17–22)] ;"
S77,77,Why Will My Question Be Closed? NLP-Based Pre-Submission Predictions of Question Closing Reasons on Stack Overflow,2020,"Limitations [The authors explicitly acknowledge that the multiclass classifier for predicting closing reasons achieves only moderate accuracy, noting that “there is, however, room for further improvement,” and that distinguishing between certain closing reasons (e.g., off-topic vs. unclear) is inherently difficult even for human moderators, which limits prediction performance (Section 4 Results and Discussion, pp. 47–48); they also explicitly note that the dataset of closing reasons is highly imbalanced, requiring downsampling, which may limit the robustness and realism of the trained models (Section 4 Results and Discussion, p. 47); additionally, they acknowledge that deleted questions—which could provide valuable training signals—are not available in public Stack Overflow data dumps, limiting model improvement (Section 4 Results and Discussion, p. 48)];

Future Work [The authors explicitly state that future work should focus on improving prediction accuracy by incorporating more data and better balancing strategies, including potentially leveraging deleted questions if they become accessible (Section 4 Results and Discussion, p. 48); they also explicitly propose further optimizing model parameters and architectures to improve generalization and better distinguish between similar closing reasons (Section 5 Conclusion, p. 48)]; "
S78,78, Duplicate Question Detection With Deep Learning in Stack Overflow,2020,"Limitations [The authors explicitly acknowledge that their approaches are evaluated only on real Stack Overflow data, which “may not guarantee the generalization of our approaches” to other community question answering websites or domains, indicating a limitation in external validity despite using multiple programming-language datasets (Section V Threats to Validity – External Validity, p. 25973); they also note that recall-rate@k is the primary evaluation metric, which, although widely used in prior work, may not fully capture all aspects of duplicate question detection effectiveness (Section V Threats to Validity – Construct Validity, p. 25973)];

Future Work [The authors explicitly state that “in future work, our approaches will be applied to other CQA websites,” indicating plans to extend and validate the proposed deep-learning-based duplicate question detection methods beyond Stack Overflow to improve generalizability (Section V Threats to Validity – External Validity, p. 25973)]; "
S79,79,Improving Quality of a Post's Set of Answers in Stack Overflow,2020,"Limitations [The authors explicitly acknowledge that the study focuses only on Java questions from Stack Overflow, which may limit the generalizability of the proposed SOPI approach to other programming languages and community question answering platforms (Section VI Threats to Validity – External Validity, p. 510–511); they also explicitly note that the identification of “deficient” posts relies on manual labeling by human experts based on subjective criteria such as completeness, conciseness, correctness, and comprehensibility, which may introduce subjectivity and bias despite mitigation efforts (Section VI Threats to Validity – Construct Validity, p. 511); additionally, they acknowledge that the effectiveness of SOPI depends on the quality of question tags and user activity history, and that incorrect or misleading tags can negatively affect post assignment and recommendations (Section V Evaluation, pp. 507–509)];

Future Work [The authors explicitly state that future work will focus on improving the prediction model by applying text mining techniques to the content of posts, beyond the current feature-based approach (Section VIII Conclusions and Future Work, p. 511); they also explicitly plan to extend SOPI by improving expert-finding mechanisms to better assign questions to highly skilled programmers, enhancing the quality and efficiency of answer improvements (Section VIII Conclusions and Future Work, p. 511)]; "
S80,80,Predicting closed questions on community question answering sites using convolutional neural network,2020,"Limitations [The authors explicitly note that the study excludes duplicate question prediction, even though duplication is a major reason for question closure on community Q&A sites, which limits the completeness of the proposed model (Section 7 Conclusion and limitations, p. 10569); they also explicitly acknowledge that the work does not address why good-quality questions may remain unanswered for a long time and eventually be closed, leaving this important phenomenon unexplained (Section 7 Conclusion and limitations, p. 10569); additionally, the approach relies only on textual features and does not incorporate structural information or prior knowledge of users, which may limit predictive performance (Section 7 Conclusion and limitations, p. 10569)];

Future Work [The authors explicitly state that future work should consider duplicate question prediction as part of the question-closure task to improve coverage (Section 7 Conclusion and limitations, p. 10569); they also explicitly state that a unified system should be developed to jointly address question quality, unanswered questions, and closure prediction (Section 7 Conclusion and limitations, p. 10569); additionally, they propose incorporating structural information and prior user knowledge into the neural network model to further improve prediction accuracy (Section 7 Conclusion and limitations, p. 10569)];"
S81,81,TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,2020,"Limitations [The authors explicitly acknowledge that rare tags are removed using a fixed frequency threshold (? 50), following prior work, which may exclude long-tail or emerging tags and limit the ability of TagDC to recommend infrequent but potentially important tags (Section 2.3.1 Data preprocessing, pp. 4–5); they also explicitly note that all code snippets are removed from descriptions during preprocessing, meaning the model relies only on natural language text and may miss useful semantic information present in code (Section 2.3.1 Data preprocessing, p. 4); additionally, the approach recommends tags only from a predefined candidate tag set composed of commonly used tags, which limits its ability to suggest novel or newly introduced tags and constrains adaptability to evolving tag vocabularies (Section 2.1 Problem formulation, pp. 3–4)];

Future Work [The authors explicitly state that future work will further explore improving TagDC by enhancing its scalability and applicability to broader software information sites, as discussed in the conclusion section outlining plans for future research directions (Section 7 Conclusion and future work, p. 16); they also indicate interest in further improving tag recommendation effectiveness by refining the combination of deep learning and collaborative filtering components and exploring additional enhancements to better address tag explosion and synonym issues as software information sites evolve (Section 7 Conclusion and future work, p. 16)]; "
S82,82,Multilayer Convolutional Neural Network to Filter Low Quality Content from Quora,2020,"Limitations [The authors explicitly acknowledge that the proposed multilayer CNN model is evaluated only on the Quora dataset, which limits the generalizability of the findings to other question answering platforms such as Stack Overflow or Yahoo! Answers (Section 6 Conclusion, Limitations and Future Research Work, p. 820); they also explicitly note that the model relies solely on question textual content because other metadata (e.g., user credentials, domain information) were unavailable, which may restrict the ability to fully capture factors influencing insincere or low-quality questions (Section 6 Conclusion, Limitations and Future Research Work, p. 820)];

Future Work [The authors explicitly state that future work should test the proposed model on datasets from other question answering websites to assess generalizability beyond Quora (Section 6 Conclusion, Limitations and Future Research Work, p. 820); they also explicitly propose incorporating metadata information such as user credentials and question domain in future models to more accurately identify insincere questions and better understand the factors behind low-quality questions and answers (Section 6 Conclusion, Limitations and Future Research Work, p. 820)]; "
S83,83,Understanding stack overflow code quality: A recommendation of caution,2020,"Limitations [The authors explicitly acknowledge that a large proportion of Stack Overflow code snippets could not be parsed or compiled, noting that only about 33% of the extracted snippets were parsable, which limits the completeness of the quantitative analysis and may bias results toward higher-quality or more structured snippets (Section 6 Threats to Validity, p. ~34); they also explicitly note that minimal preprocessing (e.g., wrapping snippets in class declarations) introduced artificial violations and constrained the ability to fully assess snippet quality without confounding effects, representing a methodological limitation (Section 6 Threats to Validity, p. ~34); additionally, the study focuses only on Java code snippets from Stack Overflow, which limits the generalizability of the findings to other programming languages, ecosystems, or Q&A platforms (Section 6 Threats to Validity, p. ~35)];

Future Work [The authors explicitly state that future work should investigate automated repair and preprocessing techniques to improve the parsability and analyzability of Stack Overflow code snippets, enabling more comprehensive quality assessments (Section 7 Conclusion and Future Work, p. ~36); they also explicitly propose extending the analysis to other programming languages and platforms to better understand whether the observed quality patterns generalize beyond Java and Stack Overflow (Section 7 Conclusion and Future Work, p. ~36)]; "
S84,84,Toxic code snippets on stack overflow,2021,"Limitations [The authors explicitly acknowledge that the study focuses only on Java code snippets from Stack Overflow and their clones in a curated set of 111 Java open-source projects (Qualitas corpus), which limits the generalizability of the findings to other programming languages, ecosystems, and Q&A platforms (Section 6 Threats to Validity, pp. 573–574); they also explicitly note that only two types of toxic code snippets—outdated code and license-violating code—are investigated, while other forms such as security vulnerabilities and code smells are excluded, limiting the scope of toxicity analysis (Section 1 Introduction; Section 6 Threats to Validity, pp. 561–562, 573); additionally, the authors acknowledge that clone detection results depend on tool configuration and threshold choices, and despite careful validation, some false negatives and false positives may still exist, posing internal validity limitations (Section 6 Threats to Validity, p. 574)];

Future Work [The authors explicitly state that future work should investigate legal problems arising from reusing Stack Overflow code snippets in practice, as their survey revealed that some developers have already faced legal issues, but these could not be analyzed further due to anonymity (Section 3.1.2 Visitor Survey, p. 571); they also explicitly propose extending the analysis to Stack Overflow answerers with lower reputation to compare awareness and behavior regarding toxic code snippets across experience levels (Section 3.1.1 Answerer Survey, p. 570); additionally, they state that the findings lay a foundation for developing automatic techniques to detect and report toxic code snippets on Stack Overflow to developers in the future (Section 1 Introduction; Section 7 Conclusion, pp. 562, 576)]; "
S85,85,Are Comments on Stack Overflow Well Organized for Easy Retrieval by Developers?,2021,"Limitations [The authors explicitly acknowledge that the study relies on Stack Overflow data only, which may limit the generalizability of the findings to other Q&A platforms with different commenting and moderation mechanisms (Section 7 Threats to Validity, p. 27); they also explicitly note that the identification of informative comments is based on manual labeling of a sampled subset, which may introduce subjectivity despite achieving substantial inter-rater agreement (Cohen’s kappa = 0.72), posing a construct validity limitation (Section 4.1 Qualitative Analysis; Section 7 Threats to Validity, pp. 9–10, 27); additionally, they acknowledge that their analysis focuses on comments associated with answers and does not consider comments on questions, which may also contain useful information for developers (Section 7 Threats to Validity, p. 27)];

Future Work [The authors explicitly state that future work should explore deploying and evaluating improved comment organization mechanisms directly on Stack Overflow to assess their real-world impact on developer information retrieval (Section 6 Implications and Section 9 Conclusion, pp. 19, 29); they also propose further improving and extending automated classifiers for identifying informative comments, potentially incorporating more advanced NLP techniques and additional contextual features (Section 6.1.1 How Effective Is It to Classify Informative Comments?, p. 19); additionally, they suggest future studies on leveraging hidden comments to better surface critical information such as obsolescence, security vulnerabilities, and errors in answers (Section 5.2 Discussion; Section 9 Conclusion, pp. 17–18, 29)]; "
S86,86,Early Detection and Guidelines to Improve Unanswered Questions on Stack Overflow,2021,"Limitations [The authors explicitly acknowledge that the study is conducted only on Stack Overflow questions related to four programming languages (C#, Java, JavaScript, and Python), which may limit the generalizability of the findings to other programming languages, domains, or Q&A platforms (Section 3 Study Methodology; Section 6 Threats to Validity, p. 10); they also explicitly note that their prediction models misclassify certain unanswered questions related to emerging technologies due to a lack of available experts, indicating that expert availability is a factor not fully captured by the current feature set (Section 3.3 Prediction of Unanswered Questions, p. 8); additionally, they acknowledge that some questions labeled as unanswered are actually answered in comment threads, which may introduce noise into the ground truth labels and affect model accuracy (Section 3.2 Qualitative Findings; Section 4 Key Findings, p. 9)] ;

Future Work [The authors explicitly state that future work should focus on further improving prediction models by incorporating additional factors and handling extreme cases where current features fail, such as questions with self-explanatory code or emerging technologies (Section 3.3 Prediction of Unanswered Questions, p. 8); they also explicitly propose developing automated, real-time support tools integrated into Stack Overflow to guide users during question submission and help them improve question quality based on the derived guidelines (Section 4 Key Findings & Guidelines; Section 7 Conclusion, p. 11)]; "
S87,87,Quantifying Human-Perceived Answer Utility in Non-Factoid Question Answering,2021,"Limitations [The authors explicitly acknowledge that the editorial study involves only 12 participants, which limits the scale and statistical generalizability of the findings, despite enabling more controlled and in-depth assessments (Section 3 Editorial Study, p. 75–76); they also explicitly note that the reported results are aggregated over six non-factoid question intent categories, and that the importance of different aspects of answer usefulness may vary across specific intent categories, which is not analyzed due to space constraints (Section 6 Conclusion, p. 83); additionally, the study focuses on a specific experimental setup with human- and Google-generated answers, which may limit direct generalization to other question answering systems or real-world CQA platforms (Section 6 Conclusion, p. 83)];

Future Work [The authors explicitly state that intent-level analysis of answer usefulness aspects is deferred to future work, noting that different non-factoid question intent categories (e.g., advice vs. debate) may emphasize different aspects of usefulness (Section 6 Conclusion, p. 83); they also implicitly suggest future work on improving answer quality measures, as existing metrics (ROUGE, BLEU, METEOR, BERTScore) show only weak correlation with perceived usefulness, indicating the need for new or improved evaluation metrics that better capture human-perceived utility (Section 6 Conclusion, p. 83)]; "
S88,88,Technical Q&A Site Answer Recommendation via Question Boosting,2021,"Limitations [The authors explicitly acknowledge that the proposed approach relies on weakly supervised label establishment based on heuristic rules, which may introduce noise and mislabeling in the training data compared to fully manual annotation (Section 7 Threats to Validity, pp. 30–31); they also explicitly note that the quality of automatically generated clarifying questions is not perfect, and imperfect or noisy clarifying questions may negatively affect answer recommendation performance (Section 6 Human Evaluation; Section 7 Threats to Validity, pp. 28–31); additionally, the empirical evaluation is limited to four technical Q&A sites (Ask Ubuntu, Super User, Stack Overflow Python, and Stack Overflow Java), which may restrict the generalizability of the findings to other domains or non-technical Q&A platforms (Section 7 Threats to Validity, p. 31)];

Future Work [The authors explicitly state that future work will explore improving the quality of generated clarifying questions to further enhance answer recommendation effectiveness (Section 9 Conclusion and Future Work, p. 33); they also explicitly propose extending the approach to more technical Q&A sites and broader domains to further validate robustness and generalizability (Section 9 Conclusion and Future Work, p. 33); additionally, they indicate interest in refining the weak supervision and label establishment process to reduce noise and improve training quality in future studies (Section 9 Conclusion and Future Work, p. 33)]; "
S89,89,Contextual Profiling of Stack Overflow Java Code Security Vulnerabilities Initial Insights from a Pilot Study,2021,"Limitations [The authors explicitly acknowledge that the study is a pilot study based on an inductive analysis, which introduces subjectivity despite mitigation through tool-based detection and careful manual inspection of Stack Overflow artifacts (Section VII Limitations, p. 1066); they also explicitly note that the dataset is relatively small in breadth, as only a subset of Java code snippets could be successfully parsed and analyzed, which limits coverage of the full population of Stack Overflow code (Section VII Limitations, p. 1066); additionally, they acknowledge that the study focuses only on Java-based artifacts from a single portal (Stack Overflow), which limits the generalizability of the findings to other programming languages and Q&A platforms (Section VII Limitations, p. 1066)];

Future Work [The authors explicitly state that future work should explore a larger sample of Stack Overflow code snippets and associated security faults to improve coverage and robustness beyond this initial pilot (Section VI Conclusion and Future Work, p. 1066); they also explicitly propose replicating the study on other platforms (e.g., Reddit) to assess whether similar security fault patterns and debilitating effects exist beyond Stack Overflow (Section VI Conclusion and Future Work, p. 1066)];"
S90,90,Detecting Duplicate Questions in Stack Overflow via Semantic and Relevance Approaches,2021,"Limitations [The authors explicitly acknowledge potential internal validity threats due to possible experimental errors, noting that although the code and experiments were carefully checked, “there may still be potential errors,” especially when reproducing baseline models whose source code was unavailable and had to be reimplemented based on the paper descriptions (Section V Threats to Validity – Internal Validity, p. 118); they also explicitly note that the study is evaluated on a dataset constructed from Stack Overflow questions in six programming languages, which may limit the generalizability of the findings to other domains or Q&A platforms despite additional experiments on Quora (Section V Threats to Validity – External Validity, p. 118); additionally, they acknowledge a construct validity concern in that duplicate question detection is modeled as a classification problem using F1-score and accuracy, whereas prior work often treats it as a retrieval problem, which may affect comparability with other studies (Section V Threats to Validity – Construct Validity, p. 118)];

Future Work [The authors explicitly state that future work will consider using parallel Transformer-based models to encode questions, explore the integration of adversarial networks into the similarity model, and implement a complete retrieval process rather than only classification; they also explicitly note that the current study does not consider answers to questions and plan to incorporate answer information in future work to further improve duplicate question detection (Section VII Conclusion, p. 119)]; "
S91,91,Rollback Edit Inconsistencies in Developer Forum,2021,"Limitations [The authors explicitly acknowledge that the study focuses exclusively on Stack Overflow, which may limit the generalizability of the findings to other developer forums or non-technical collaborative editing platforms (Section VI Threats to Validity – External Validity, p. 10); they also explicitly note potential internal validity threats due to experimenter bias, as the rule-based inconsistency detection algorithms were derived from manually labeled data, which could influence algorithm design despite mitigation through agreement checks and dataset splitting (Section VI Threats to Validity – Internal Validity, p. 10); additionally, they acknowledge construct validity limitations related to identifying rollback inconsistencies solely from body edit histories in the Stack Exchange data dump, which may not capture all contextual reasons behind rollback actions (Section VI Threats to Validity – Construct Validity, p. 10)];

Future Work [The authors explicitly state that future work will focus on developing machine-learning-based approaches trained on larger and unseen datasets to further improve the automatic detection of rollback edit inconsistencies and reduce potential bias introduced by rule-based methods (Section VI Threats to Validity; Section VIII Conclusions, p. 10–11)]; "
S92,92,Characterization and Prediction of Questions without Accepted Answers on Stack Overflow,2021,"Limitations [The authors explicitly acknowledge that accepted answers are used as a proxy for correctness, but an accepted answer “may not be helpful anymore due to getting outdated,” and conversely, an unaccepted answer may still be correct or useful for third-party users, which could not be detected in this study (Section VII Threats to Validity – Internal Validity, p. 68); they also explicitly note that closed questions (e.g., vague, duplicate, off-topic) are included in the dataset, which may affect results, but were not filtered because such questions may receive accepted answers before closure and constitute less than 4% of the dataset (Section VII Threats to Validity – Internal Validity, p. 68); additionally, the authors explicitly state that although the study analyzes a very large dataset from Stack Overflow, the results “are not generalizable to other CQAs,” limiting external validity beyond Stack Overflow (Section VII Threats to Validity – External Validity, p. 68)];

Future Work [N/A]; "
S93,93,Beyond Relevance: Trustworthy Answer Selection via Consensus Verification,2021,"Limitations [The authors explicitly acknowledge that the proposed framework depends on retrieving reliable supporting evidences from external information repositories, but “there is no guarantee that one can always obtain reliable consensus from the wisdom of crowds” due to noisy information and limitations of existing search technology, which can affect trustworthiness estimation (Section 1 Introduction; Section 3.4 Confidence-based Combination, pp. 563–566); they also implicitly acknowledge that performance is sensitive to the quality and number of retrieved evidences, as too many evidences may introduce noise and degrade performance, indicating a limitation related to evidence selection and retrieval quality (Section 4.7 Analysis of MV Framework, p. 568)];

Future Work [The authors explicitly state that future work will explore other types of external knowledge sources for verification beyond the current information repositories, and design new verification structures to capture richer interaction information for trustworthiness modeling (Section 5 Conclusion, p. 569)]; "
S94,94,Recency and quality-based ranking question in CQAs: A Stack Overflow case study,2021,"Limitations [The authors explicitly acknowledge that the proposed approach and empirical evaluation are conducted only on Stack Overflow data, which limits the generalizability of the findings to other CQA platforms with different community dynamics, content characteristics, and ranking mechanisms (Section 7 Conclusions, p. 17); they also explicitly note that the ground truth for recency is created through expert judgment on a relatively small subset of questions and answers, which may introduce subjectivity and limit scalability despite careful annotation procedures (Section 6.1 Dataset and ground truth creation, pp. 9–10); additionally, they acknowledge that the effectiveness of recency features depends on the presence of explicit temporal signals (e.g., software versions, dates, links) in answers, and questions without such signals cannot be effectively ranked by recency, which constrains applicability (Section 6.1 Dataset and ground truth creation, p. 10)];

Future Work [The authors explicitly state that future work should explore applying the proposed quality- and recency-based ranking approach to other CQA platforms and domains beyond Stack Overflow to assess robustness and generalizability (Section 7 Conclusions, p. 17); they also explicitly propose investigating additional or alternative recency indicators and feature engineering strategies to better capture content freshness in cases where explicit temporal cues are missing (Section 7 Conclusions, p. 17)]; "
S95,95,How to Formulate Specific How-to Questions in Software Development?,2022,"Limitations [The authors explicitly acknowledge that the task knowledge graph (task KG) construction relies on manually defined linguistic patterns for initial seed task extraction, which may limit coverage and introduce bias toward certain question formulations (Section 4.2 Initial Seed Task Extraction, p. 309); they also explicitly note that the intrinsic quality evaluation shows that only 75.0% of the annotated questions are correct, indicating errors caused by NLP tool limitations and questions that are not truly task-related, which constrains the accuracy of the task KG (Section 6.1 Intrinsic Quality, pp. 313–314); additionally, the task KG and evaluation are built solely from Stack Overflow questions, which limits the generalizability of the approach to other programming-related Q&A systems or forums with different characteristics (Section 8 Discussion and Threats to Validity, p. 325)];

Future Work [The authors explicitly state that future work will aim to improve the accuracy of task and element extraction, for example by training a classifier to better identify task-related questions and reduce noise introduced by NLP errors (Section 6.1.2 Results, p. 314); they also explicitly propose extending TaskKG4Q and the task KG to other programming-related Q&A systems and forums beyond Stack Overflow, and allowing the task KG to evolve continuously as more data becomes available (Section 8 Conclusion, p. 326)]; "
S96,96,PTM4Tag: Sharpening Tag Recommendation of Stack Overflow Posts with Pre-Trained Models,2022,"Limitations [The authors explicitly acknowledge that Stack Overflow tags are assumed to be correctly labeled by users, but some tags may be mislabeled despite mitigation through discarding rare tags and posts, which introduces potential noise in the ground truth (Section 6.2 Threats to Validity – Internal Validity, p. 9); they also explicitly note that the study is conducted only on Stack Overflow data, and as software technologies evolve rapidly, the results may not generalize well to newly emerging topics without additional fine-tuning, limiting external validity (Section 6.2 Threats to Validity – External Validity, p. 9); additionally, the approach adopts a head-only truncation strategy for long descriptions and code snippets due to PTM input length constraints, and other truncation or hierarchical strategies are not explored, which may affect performance on long posts (Section 3.1.2 PTM-Oriented Tokenization, p. 4)];

Future Work [The authors explicitly state that extensive exploration of alternative strategies for handling long text inputs-such as tail-only truncation, head+tail truncation, compression, or hierarchical methods—is left for future work, as there is no clear conclusion on which strategy performs best across situations (Section 3.1.2 PTM-Oriented Tokenization, p. 4); they also implicitly indicate future work on adapting and fine-tuning the framework with new and evolving Stack Overflow posts to better handle newly emerging software topics (Section 6.2 Threats to Validity – External Validity, p. 9)]; "
S97,97,A Study of C/C++ Code Weaknesses on Stack Overflow,2022,"Limitations [The authors explicitly acknowledge that the study focuses only on C/C++ code snippets extracted from Stack Overflow answers, which limits the generalizability of the findings to other programming languages and knowledge-sharing platforms (Section 6 Threats to Validity – External Validity, p. 2371); they also explicitly note that the detection of code weaknesses relies on the static analysis tool Cppcheck, which supports only 59 out of 89 C/C++ CWE types and has an accuracy of 0.85, meaning some weaknesses may be missed or falsely reported, posing construct validity limitations (Section 3.1.2 Detecting Weaknesses in Code Snippets; Section 6 Threats to Validity – Construct Validity, pp. 2362–2363, 2371); additionally, the authors acknowledge that trivial or incomplete code snippets (e.g., pseudo-code or snippets with fewer than five lines) are excluded, which may bias the analysis toward more substantial code and omit certain real-world reuse scenarios (Section 3.1.1 Data Collection; Section 6 Threats to Validity – Internal Validity, pp. 2361–2362, 2371)];

Future Work [The authors explicitly state that future research should investigate whether gamification mechanisms can encourage more effective peer code review and reduce security weaknesses in Stack Overflow code snippets (Section 4.2 RQ2 Discussion, p. 2367); they also explicitly suggest developing and integrating automatic CWE scanning and vulnerability detection tools into Stack Overflow to proactively identify and mitigate insecure code snippets shared by users (Section 1 Introduction; Section 5 Implications of Our Findings, pp. 2360, 2370)]; "
S98,98,An Empirical Study of C++ Vulnerabilities in Crowd-Sourced Code Examples,2022,"Limitations [The authors explicitly acknowledge that the study focuses only on C++ code snippets shared on Stack Overflow, which limits the generalizability of the findings to other programming languages, ecosystems, and Q&A platforms (Section 7 Threats to Validity – External Validity, p. 1515); they also explicitly note that the identification of vulnerabilities relies on manual inspection guided by CWE guidelines and involves subjective judgment despite collaborative reviews and majority voting, which introduces potential bias and limits internal validity (Section 7 Threats to Validity – Internal Validity, p. 1515); additionally, the study considers only code snippets that were reused in GitHub projects, meaning vulnerable snippets that were not reused are excluded, which may underestimate the overall prevalence of vulnerabilities on Stack Overflow (Section 3 Data Collection and Section 7 Threats to Validity, pp. 1501, 1515)];

Future Work [The authors explicitly state that future work should extend the analysis to other programming languages and platforms beyond C++ and Stack Overflow to better understand the prevalence and propagation of vulnerabilities in crowd-sourced code examples (Section 8 Conclusion, p. 1516); they also explicitly propose further improving and scaling automated tooling, such as the developed browser extension, to continuously detect and warn developers about vulnerable code snippets and to incorporate community and expert feedback for maintaining an up-to-date vulnerability database (Section 6.2 Browser Extension; Section 8 Conclusion, pp. 1512–1516)]; "
S99,99,Ask It Right! Identifying Low-Quality questions on Community Question Answering Services,2022,"Limitations [N/A];

Future Work [The authors explicitly state that “in future, we wish to explore advanced GNN architectures used for question-tag pairs,” indicating plans to investigate more sophisticated graph neural network models beyond standard GCNs (Section VIII Conclusion and Future Work, p. 7); they also explicitly state that they “plan to study the ‘closed’ questions that gets re-open after edits,” indicating future work on analyzing reopened questions and the effects of post-editing on question quality and closure outcomes (Section VIII Conclusion and Future Work, p. 7)]; "
S100,100,Generating High Quality Titles in StackOverflow via Data Denoising Method,2022,"Limitations [The authors explicitly acknowledge that the proposed KCL-CT approach is evaluated only on Stack Overflow datasets covering five programming languages (Java, Python, JavaScript, SQL, and C#), which limits the generalizability of the findings to other languages and developer communities (Section VI Conclusion and Future Work, p. 6); they also implicitly note that the denoising process relies on heuristic confidence thresholds in confident learning, and that inappropriate threshold selection may remove useful data or retain noisy samples, which can affect model robustness (Section V-B Impact of Confidence Learning Parameters on KCL-CT, pp. 5–6); additionally, the approach focuses on code–title pairs and does not consider other contextual information such as question bodies or user metadata, which may further limit title generation quality in complex cases (Sections I Introduction and II Model, pp. 1–3)];

Future Work [The authors explicitly state that “in the future, we will apply our method to additional datasets with more languages to achieve a more comprehensive evaluation of the KCL-CT model and generate better titles for source code samples,” indicating plans to extend the approach to more programming languages and datasets beyond the current experimental setting (Section VI Conclusion and Future Work, p. 6)]; "
S101,101,Predicting Rollback Edits on Stack Overflow Based on Deep Fusion of Metadata and Text,2022,"Limitations [The authors explicitly acknowledge that the study focuses exclusively on Stack Overflow, which may limit the generalizability of the findings to other developer forums or collaborative editing platforms with different editing and moderation mechanisms (Section VI Conclusion, p. 381); they also implicitly note that rollback prediction relies on historical metadata and edit text, meaning the model’s effectiveness depends on the availability and quality of past edit histories, which may be sparse or noisy for new users or newly created posts (Sections III Preliminary Study and V Experiments, pp. 377–381)];

Future Work [N/A]; "
S102,102,SOTitle: A Transformer-based Post Title Generation Approach for Stack Overflow,2022,"Limitations [The authors acknowledge potential threats to external validity, noting that the constructed corpus focuses only on four popular programming languages (Java, C#, Python, and JavaScript), which may limit the generalizability of the findings to other programming languages or domains on Stack Overflow (Section VI Threats to Validity, p. 585); they also note that the quality and generalization ability of the corpus may be affected by the three heuristic rules used to select high-quality posts, which could exclude other informative but lower-scored or unanswered questions (Section VI Threats to Validity, p. 585)];

Future Work [The authors explicitly state that “in the future, we first aim to further improve the performance of SOTitle by considering more advanced deep learning methods (such as graph neural networks for code snippets),” indicating future work on incorporating richer code representations (Section VII Conclusion, p. 586); they also state that they “aim to combine SOTitle with other kinds of approaches (such as information retrieval-based approaches and template-based approaches),” suggesting future hybrid solutions for post title generation (Section VII Conclusion, p. 586)]; "
