Study#,SL,Title,Year,Target Q&A Site,Quality Metric,Label Coding Manual
S55,55,"Determinants of quality, latency, and amount of Stack Overflow answers about recent Android APIs",2018,Stack Overflow;,"Number of answers per question (QCreationDate, QOwnerNQ,QOwnerReputation, QOwnerAge, QMEC,QTitleLength, QBodyNWords,QBodyCharsOfCode, QNSwitches,QBodyURLCount,
F.QQualityLabelGood, QNeed,QNTags,QNComments, F.Added,APIDiffTime, F.Bounty,TimeToBounty);
Time to first good answer models, log minutes, before 2 days (QCreationDate, QOwnerNQ,QOwnerReputation, QOwnerAge, QMEC,ABodyNWords,ABodyCharsOfCode, ANSwitches,ABodyURLCount, 
AMEC,AOwnerReputation, QNTags,QTitleLength, QBodyNWords,QBodyCharsOfCode, QNSwitches,QNComments, QBodyURLCount,F.QQualityLabelGood, QNeed,F.Added,APIDiffTime);
Time to first good answer models, log minutes, after 2 days (QCreationDate, QOwnerNQ,QOwnerReputation, QOwnerAge, QMEC,ABodyNWords,ABodyCharsOfCode, ANSwitches,ABodyURLCount, AMEC,AOwnerReputation, QNTags,QTitleLength, QBodyNWords,
QBodyCharsOfCode, QNSwitches,QNComments, QBodyURLCount,F.QQualityLabelGood, QNeed,F.Added,APIDiffTime, F.Bounty,TimeToBounty)","Presentation and Structural Quality [QNSwitches, ABodyNWords, ABodyCharsOfCode, ANSwitches];
Readability and Linguistic Complexity [QTitleLength, QBodyNWords, QBodyCharsOfCode];
Content Accuracy and Informativeness [F.QQualityLabelGood, QNeed, F.Added];
Clarity, Relevance, and Supporting Resources [QBodyURLCount, ABodyURLCount];
Community Engagement and Activity [QOwnerNQ, QOwnerReputation, QOwnerAge, AOwnerReputation, QMEC, AMEC, QNComments, F.Bounty, TimeToBounty];
Post Popularity and Metadata [QCreationDate, QNTags];
Response Timing and Interaction [Time to first good answer models (log minutes, before 2 days and after 2 days), APIDiffTime];"
S56,56,ICSD: An Automatic System for Insecure Code Snippet Detection in Stack Overflow over Heterogeneous Information Network,2018,Stack Overflow,question-have-code; answer-include-code; code-contain-keyword; user-post-question; user-supply-answer; answer-echo- question; user-gain-badge; ,"Clarity, Relevance, and Supporting Resources [Answer-echo-question, Code-contain-keyword Question-have-code, Answer-include-code];
Community Engagement and Activity [User-post-question, User-supply-answer, User-gain-badge];"
S57,57,"EnTagRec ++: An enhanced tag recommendation system for software information sites
",2018,Stack Overflow; Ask Ubuntu; Ask Different; Super User; Freecode,N/A,Tag Relevance and Specificity [tags];
S58,58,Exploiting User Activities for Answer Ranking in Q&A Forums,2018,Stack Overflow,"Texture Features Texture (n. of words in the text, n. of sentences in the text, n. of characters in the text, Average paragraph length, n. code lines,Average n. of code lines per code snippet,n. of paragraphs in the text,n. of images in the text,n. of links in the text,n. of links to external sources,n. of links to other questions/answers in the same forum,n. of lists in the text,n. of list items in the text,n. of quoted blocks in the text,n. of < strong > tags,n. of code snippets,BM25 ranking function, based on a probabilistic retrieval framework,n. of sentences shared by question and answer,n. of words shared by question and answer,n. of words which appear in question and answer in the same order,Largest distance between two words that appear in answer and question); User features (n. of posted answers,n. of posted questions,n. of comments posted to answers,n. of comments posted to questions,n. of up votes to posted answers got from other users,n. of down votes to posted answers got from other users,avg n. of comments per posted answer,avg n. of comments per posted question,avg n. of answers per posted question,
avg n. of up votes per posted answer, avg n. of down votes per posted answer,n. of posted answers selected as the best answer,avg rank position for posted answers,n. of topics in which user post questions,
n. of topics in which user post answers,n. of topics in which user post comments); Comment features (n. of comments posted to the answer,max n. of comments in one comment session,n. of users who commented the answer,sum of comment text length of all comments posted to the answer,avg length of comments posted to the answer,n. of comments posted by the answerer); Three new topic-aware features with user profile infor- mation and the relationship of user’s activities to capture the expertise of users in a specific topic","Presentation and Structural Quality [Number of code lines, Average number of code lines per code snippet, Number of paragraphs in the text,  number of lists in the text, number of list items in the text, number of quoted blocks in the text, number of <strong> tags];
Readability and Linguistic Complexity [Number of words in the text, number of sentences in the text, number of characters in the text, Average paragraph length];
Clarity, Relevance, and Supporting Resources [number of images in the text, number of links in the text, number of links to external sources, number of links to other questions/answers in the same forum, BM25 ranking function, number of sentences shared by question and answer, number of words shared by question and answer, number of words which appear in question and answer in the same order, Largest distance between two words that appear in answer and question];
Community Engagement and Activity [Number of posted answers, number of posted questions, Number of comments posted to answers, Number of comments posted to questions, Average number of comments per posted answer, Average number of comments per posted question, Average number of answers per posted question, Average rank position for posted answers, Number of topics in which user post questions, Number of topics in which user post answers, number of topics in which user post comments];
Reputation and Social Authority [number of upvotes to posted answers got from other users, Number of downvotes to posted answers got from other users, Average number of up votes per posted answer, Average number of down votes per posted answer, number of posted answers selected as the best answer];
Post Popularity and Metadata [number of code snippets];
Response Timing and Interaction [Number of comments posted to the answer, Maximum number of comments in one comment session, number of users who commented the answer, Sum of comment text length of all comments posted to the answer, Average length of comments posted to the answer, number of comments posted by the answerer];
Tag Relevance and Specificity [Three new topic-aware features with user profile information and the relationship of user’s activities to capture the expertise of users in a specific topic];
"
S59,59,Guiding supervised topic modeling for content based tag recommendation,2018,Stack Overflow; Mathematics ,N/A,Tag Relevance and Specificity [tags];
S60,60,How to ask for technical help? Evidence-based guidelines for writing questions on Stack Overflow,2018,Stack Overflow,"Affec (positive sentiment, negative sentiment); Presentation Quality (Title length, Body length, Presence of URLs, Presence of multiple tags, Uppercase character ratio, Presence of code snippet); time (Question posting time (GMT) - {Morning, Afternoon, Evening, Night}, Day of Week - {Weekend, Weekday}); Reputation","Presentation and Structural Quality [Uppercase character ratio];
Readability and Linguistic Complexity [Title length, Body length];
Clarity, Relevance, and Supporting Resources [Presence of URLs, Presence of multiple tags, Presence of code snippet];
Reputation and Social Authority [Reputation];
Response Timing and Interaction [Question posting time (GMT) - {Morning, Afternoon, Evening, Night}, Day of Week - {Weekend, Weekday}];
Affect and Sentiment Analysis [Positive sentiment, Negative sentiment];"
S61,61,Finding and Ranking High-Quality Answers in Community Question Answering Sites,2018,Stack Exchange,Noun; Verbs; Adjective; Difficult Words; Lex Diversity; One Letter Words; Two Letter Words; Length; Set Length; Stop Words; Wrong Words; Points; Code Snippets; User Reputation; Modifications; Competitors; Entropy; Flesch Reading Ease; Dale Challe Reading Score; Answer-Answer Similarity; Question-Answer Similarity; Topic Similarity; Topic Reputation Same Domain; Topic Reputation Different Domain; Longer letter words; Accepted Answer ratio,"Readability and Linguistic Complexity [Noun, Verbs, Adjective, Difficult Words, Lex Diversity, One Letter Words, Two Letter Words, Length, Set Length, Stop Words, Wrong Words, Longer Letter Words, Flesch Reading Ease, Dale Challe Reading Score];
Clarity, Relevance, and Supporting Resources [Code Snippets, Answer-Answer Similarity, Question-Answer Similarity, Topic Similarity, Entropy];
Community Engagement and Activity [Competitors, Accepted Answer Ratio, Modifications];
Reputation and Social Authority [User Reputation, Points, Topic Reputation Same Domain, Topic Reputation Different Domain];"
S62,62,FastTagRec: fast tag recommendation for software information sites,2018,Stack Overflow; Askubuntu; Serverfault; Unix; Codereview; Freecode; Database Administrator; Wordpress; AskDifferent; Software Engineering,N/A,Tag Relevance and Specificity [tags];
S63,63,AnswerBot: An Answer Summary Generation Tool Based on Stack Overflow,2019,Stack Overflow,user study (relevance; usefulness; diversity),"Content Accuracy and Informativeness [relevance, usefulness, diversity];"
S64,64,Features That Predict the Acceptability of Java and JavaScript Answers on Stack Overflow,2019,Stack Overflow,"Code Features (the number of lines present in the code, number of identifiers); Textual Features (Question and Answer Similarity, the similarity between the question and code in answers, Text Polarity, Vector Concordance Similarity, Length of Answer, Number of Sentences, Url Count); Non-Textual Features (Response Time, Number of Comments, Answer Count, Answer Score, view count); User Features (Reputation, Sign Up Date Time Lag)","Readability and Linguistic Complexity [Length of Answer, Number of Sentences, The number of lines present in the code, number of identifiers];
Clarity, Relevance, and Supporting Resources [Question and Answer Similarity, The similarity between the question and code in answers, Vector Concordance Similarity];
Community Engagement and Activity [Response Time, Number of Comments, Answer Count, Answer Score, View Count];
Reputation and Social Authority [Reputation];
Post Popularity and Metadata [Url Count];
Response Timing and Interaction [Sign Up Date Time Lag];
Affect and Sentiment Analysis [Text Polarity];"
S65,65,How Reliable is the Crowdsourced Knowledge of Security Implementation?,2019,Stack Overflow,"security (SSL/TLS - HostnameVerifier Trust Manager, Version Cipher Suite OnReceivedSSLError; Symmetric - Cipher/Mode, Key, Initialization Vector (IV), Password-Based Encryption (PBE); Asymmetric - key; Hash - PBKDF, Digital Signature, Credentials; Random - Type, Seeding)","Content Accuracy and Informativeness [SSL/TLS - HostnameVerifier Trust Manager, Version Cipher Suite OnReceivedSSLError,  Symmetric - Cipher/Mode, Key, Initialization Vector (IV), Password-Based Encryption (PBE), Asymmetric - Key, Hash - PBKDF, Digital Signature, Credentials, Random - Type, Seeding];"
S66,66,Integrating Multi-Level Tag Recommendation with External Knowledge Bases for Automatic Question Answering,2019,Stack Overflow,N/A,Tag Relevance and Specificity [tags];
S67,67,SOTagRec: A Combined Tag Recommendation Approach for Stack Overflow,2019,Stack Overflow,N/A,Tag Relevance and Specificity [tags];
S68,68,Towards an Accurate Prediction of the Question Quality on Stack Overflow using a Deep-Learning-Based NLP Approach,2019,Stack Overflow,N/A,"Clarity, Relevance, and Supporting Resources [relatedness];"
S69,69,Detecting Duplicate Questions in Stack Overflow via Deep Learning Approaches,2019,Stack Overflow,N/A,"Clarity, Relevance, and Supporting Resources [relatedness];"
S70,70,Predicting the Timing and Quality of Responses in Online Discussion Forums,2019,Stack Overflow ,"User features (Answers provided, Answer ratio, Net answer votes, Median response time, Topics answered);
Question features (Net question votes, Question word length, Question code length, Topics asked);
User-question features (User-question topic similarity, Topic-weighted questions answered, Topic-weighted answer votes );
Social features (User-user topic similarity, Thread co-occurrence, QA closeness centrality, QA betweenness centrality, QA resource allocation index ReQA, Denser closeness centrality, Denser betweenness centrality, Denser resource allocation index)  ","Readability and Linguistic Complexity [Question word length, Question code length];
Clarity, Relevance, and Supporting Resources [User-question topic similarity, Thread co-occurrence, QA closeness centrality, QA betweenness centrality, QA resource allocation index ReQA, Denser closeness centrality, Denser betweenness centrality, Denser resource allocation index];
Community Engagement and Activity [Answers provided, Answer ratio, Net answer votes, Topics answered, Net question votes, Topics asked, Topic-weighted questions answered, Topic-weighted answer votes, User-user topic similarity];
Response Timing and Interaction [Median response time];"
S71,71,An empirical study of obsolete answers on stack overflow,2019,Stack Overflow,obsolete,Content Accuracy and Informativeness [Obsolete];
S72,72,Quality assessment of answers with user-identified criteria and data-driven features in social Q&A,2019,Ask Ubuntu; Mathematics; Photography; Arqade,"USER CRITERIA: Content (Accurac, Specificity, Clarity, Rationality, Completeness, Objectivity, Writing Style, Length); Cognitive (Novelty, Understandability); Utility (Effectiveness, Solution feasibility);
Information sources (Reference to external sources, Answerer's expertise);
Extrinsic (External verification, Available alternatives, Quickness);
Socio-emotional (Answerer's attitude, Answerer's effort, Answerer's experience, Agreement, Taste, Humor) 

DATA FEATURES: Textual features(length (Counts of words (l-wc),Counts of sentences (l-sc)), Structure (Counts of paragraphs (s_pc),Counts of images (s_ic),Counts of external links (s_elc),Counts of internal links (to other question/answers in the site) (s_ilc)), Style(Counts of auxiliary verbs (t_avc),Counts of “to-be” verb (t_bvc),Counts of pronoun (t_pc),,Counts of conjunction (t_cc),Counts of interrogative pronoun (t_ipc),Counts of subordinating conjunction (t_scc),Counts of preposition (t_prc),Counts of nominalization (t_nc),Counts of passive voice sentence (t_pvc))); 
Non-textual features (User (Counts of user points (u_point) ,Counts of merit badges (u_mbc), Counts of questions posted by a user(u_qc),Counts of answers posted by a user (u_ac),Counts of comments posted by a user (u_cc),Counts of suggested edits made by a user (u_ec)), review (Counts of revision (r_rc), Counts of comments an answer received(r_cc), Counts of answer age/day (r_aage))","Readability and Linguistic Complexity [Counts of words (l-wc), Counts of sentences (l-sc), Counts of auxiliary verbs (t_avc), Counts of “to-be” verbs (t_bvc), Counts of pronouns (t_pc), Counts of conjunctions (t_cc), Counts of interrogative pronouns (t_ipc), Counts of subordinating conjunctions (t_scc), Counts of prepositions (t_prc), Counts of nominalizations (t_nc), Counts of passive voice sentences (t_pvc),  Length];
Content Accuracy and Informativeness [Accuracy, Specificity, Clarity, Rationality, Completeness, Objectivity, Writing Style];
Clarity, Relevance, and Supporting Resources [Counts of external links (s_elc), Counts of internal links (to other questions/answers in the site) (s_ilc)];
Community Engagement and Activity [Counts of merit badges (u_mbc), Counts of questions posted by a user (u_qc), Counts of answers posted by a user (u_ac), Counts of comments posted by a user (u_cc), Counts of suggested edits made by a user (u_ec), Counts of revision (r_rc), Counts of comments an answer received (r_cc), Counts of answer age/day (r_aage), Answerer's effort, Answerer's experience, Agreement];
Reputation and Social Authority [Answerer's expertise, Counts of user points (u_point)];
Response Timing and Interaction [Quickness];
Affect and Sentiment Analysis [Answerer's attitude, Taste, Humor];"
S73,73,Assessing the quality of answers autonomously in community question-answering,2019,Brainly ; Stack Overflow;,"Personal features(Number of answers given (n_answers), Number of questions asked (n_questions), Reputation of users (answerer_rep)); Community features (Number of up-votes that user received (up_votes), Number of down-votes that user received (down_votes), Number of friends in community (friends_count), Clustering Coefficient in friendship network (cc), Average degree of neighborhood (deg_adj), Average CC of friends (cc_adj), Size of ego network of friendship (ego), Number of outgoing edges in ego network (ego_out), Number of neighbors in ego network (ego_adj)); Textual features (Length of the answer (length), Readability of the answer (ari), Flesch reading ease score of the answer (fres), Format of the answer (well_format), Using advance math typing: LaTeX (contain_tex)); Contextual features (Rank difference between answerer & asker (diff_rep_users), Similarity between answer and question (sim), Duration to answer (time_to_answer))


  ","Presentation and Structural Quality [Format of the answer (well_format), Using advanced math typing: LaTeX (contain_tex)];
Readability and Linguistic Complexity [Length of the answer (length), Readability of the answer (ari), Flesch reading ease score of the answer (fres)];
Clarity, Relevance, and Supporting Resources [Similarity between answer and question (sim)];
Community Engagement and Activity [Number of friends in community (friends_count), Clustering Coefficient in friendship network (cc), Average degree of neighborhood (deg_adj), Average CC of friends (cc_adj), Size of ego network of friendship (ego), Number of outgoing edges in ego network (ego_out), Number of neighbors in ego network (ego_adj)];
Reputation and Social Authority [Reputation of users (answerer_rep), Rank difference between answerer & asker (diff_rep_users), Number of up-votes that user received (up_votes), Number of down-votes that user received (down_votes)];
Response Timing and Interaction [Duration to answer (time_to_answer)];"
S74,74,Code Duplication on Stack Overflow,2020,Stack Overflow,duplicate/clone; licensing conflicts,"Content Accuracy and Informativeness [Duplicate/Clone, Licensing Conflicts];"
S75,75,Generating Question Titles for Stack Overflow from Mined Code Snippets,2020,Stack Overflow,Naturalness; Relevance,"Clarity, Relevance, and Supporting Resources [relatedness];"
S76,76,Large-Scale Question Tagging via Joint Question-Topic Embedding Learning,2020,Zhihu,N/A,Tag Relevance and Specificity [tags];
S77,77,Why Will My Question Be Closed? NLP-Based Pre-Submission Predictions of Question Closing Reasons on Stack Overflow,2020,Stack Overflow,duplication; off-topic; unclear; too broad; opinion-based;,"Content Accuracy and Informativeness [duplication, off-topic, too broad, opinion-based];
Clarity, Relevance, and Supporting Resources[unclear];"
S78,78, Duplicate Question Detection With Deep Learning in Stack Overflow,2020,Stack Overflow,N/A,"Clarity, Relevance, and Supporting Resources [relatedness];"
S79,79,Improving Quality of a Post's Set of Answers in Stack Overflow,2020,Stack Overflow,Completeness; conciseness; correctness; Comprehensibility;,"Content Accuracy and Informativeness [Completeness, conciseness, correctness, Comprehensibility];"
S80,80,Predicting closed questions on community question answering sites using convolutional neural network,2020,Stack Overflow,"open; off-topic; not a real question; too constructive; too localized; ML (Nouns, verbs, Adjective, Entropy, Difficult words, Lex Diversity, One letter words, Two letter words, Longer letter word, Flesch reading ease, Stop words, Length, Set length, Wrong words, Dale Challe reading score)","Readability and Linguistic Complexity [Nouns, Verbs, Adjective, Entropy, Difficult words, Lex Diversity, One letter words, Two letter words, Longer letter words, Flesch reading ease, Stop words, Length, Set length, Wrong words, Dale Challe reading score];
Clarity, Relevance, and Supporting Resources [Open, Off-topic, Not a real question, Too constructive, Too localized];"
S81,81,TagDC: A tag recommendation method for software information sites with a combination of deep learning and collaborative filtering,2020,"StackOverflow@small; AskDifferent;
Database Administrator; Freecode;
Wordpress; Askubuntu; Serverfault; Unix; StackOverflow@large",N/A,Tag Relevance and Specificity [tags];
S82,82,Multilayer Convolutional Neural Network to Filter Low Quality Content from Quora,2020,Quora,"Nouns, Verbs, Adjectives, Difficult words, Flesch Reading Score, Stop words, Length of the post, Wrong words, Two Letter words, Long words, Entropy","Readability and Linguistic Complexity [Nouns, Verbs, Adjectives, Difficult words, Flesch Reading Score, Stop words, Length of the post, Wrong words, Two Letter words, Long words];
Clarity, Relevance, and Supporting Resources [Entropy];"
S83,83,Understanding stack overflow code quality: A recommendation of caution,2020,Stack Overflow,"reliability, security, maintainability/readability, usability, compatibility, performance","Readability and Linguistic Complexity [Maintainability/Readability];
Content Accuracy and Informativeness [Reliability, Security, Usability, Compatibility, Performance];"
S84,84,Toxic code snippets on stack overflow,2021,Stack Overflow,mismatched solutions; outdated solutions; incorrect solutions; buggy code; license violation;,"Content Accuracy and Informativeness [Mismatched solutions, Outdated solutions, Incorrect solutions, Buggy code, License violation];"
S85,85,Are Comments on Stack Overflow Well Organized for Easy Retrieval by Developers?,2021,Stack Overflow,"comment length; score; text similarity (answer-comment); ML (Text (text score, length, sentiment score); Activity (Comment age, Comment score,In an accepted answer); User (Commenter eeputation, by asker, by answerer, by another answerer, by commenter, by insider, by outsider))","Readability and Linguistic Complexity [Text score, Length, Comment length];
Clarity, Relevance, and Supporting Resources [Text similarity (answer-comment)];
Reputation and Social Authority [Commenter reputation, By asker, By answerer, By another answerer, By commenter, By insider, By outsider];
Post Popularity and Metadata [Score, Comment score, Comment age, In an accepted answer];
Affect and Sentiment Analysis [Sentiment score];"
S86,86,Early Detection and Guidelines to Improve Unanswered Questions on Stack Overflow,2021,Stack Overflow,"Text Readability, Topic Response Ratio, Topic Entropy, Metric Entropy, Average Terms Entropy, Text-code Ratio, User Reputation, Received Response Ratio","Readability and Linguistic Complexity [Text Readability];
Clarity, Relevance, and Supporting Resources [Text-code Ratio, Topic Entropy, Metric Entropy, Average Terms Entropy];
Community Engagement and Activity [Topic Response Ratio, Received Response Ratio];
Reputation and Social Authority [User Reputation];"
S87,87,Quantifying Human-Perceived Answer Utility in Non-Factoid Question Answering,2021,self-generated Q&A,Relevance; correctness; completeness; comprehensiveness; Brevity; coherent; Serendipity; Originality; Readability; referencing; Factuality; fair;,"Readability and Linguistic Complexity [Readability];
Content Accuracy and Informativeness [Correctness, Completeness, Comprehensiveness, Factuality, Fair, Originality, Serendipity];
Clarity, Relevance, and Supporting Resources [Referencing, Brevity, Coherent, Relevance];"
S88,88,Technical Q&A Site Answer Recommendation via Question Boosting,2021,Ask Ubuntu; Super User; Stack Overflow,informativeness; relevance,"Content Accuracy and Informativeness [informativeness, relevance];"
S89,89,Contextual Profiling of Stack Overflow Java Code Security Vulnerabilities Initial Insights from a Pilot Study,2021,Stack Overflow,"security (DP_CREATE_CLASSLOADER_ INSIDE_DO_PRIVILEGED, EI_EXPOSE_REP, MS_EXPOSE_REP, MS_FINAL_PKGPROTECT, MS_PKGPROTECT, MS_SHOULD_BE_FINAL); ","Content Accuracy and Informativeness [DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED, EI_EXPOSE_REP, MS_EXPOSE_REP, MS_FINAL_PKGPROTECT, MS_PKGPROTECT, MS_SHOULD_BE_FINAL];"
S90,90,Detecting Duplicate Questions in Stack Overflow via Semantic and Relevance Approaches,2021,Stack Overflow,N/A,"Clarity, Relevance, and Supporting Resources [Relatedness];"
S91,91,Rollback Edit Inconsistencies in Developer Forum,2021,Stack Overflow,inconsistency; ,Content Accuracy and Informativeness [inconsistency];
S92,92,Characterization and Prediction of Questions without Accepted Answers on Stack Overflow,2021,Stack Overflow,"Content (Title AVG Word in Characters Has Wh-word in Title,
Body AVG Word in Characters Body AVG Sentence in Words Body Word Count, Number of Links, Number of Code Snippets Title Word Count,
Title Starts with a Capital Character Number of Paragraphs,
Is Title an Interrogative Sentence “error”/“not working” in Title Has Quote (“<quote>” in Body), Lines of Code Body Sentence Count,
Code Snippets Length in Characters Has List (“<li>” in Body)); Tag (Tag Count, Max Tag Quality, AVG Tag Quality, Max Expert Ratio, Min Tag Quality, Max Problem Rate); Metadata (Asking Time (Day of the Week), Asking Time (Hour), Question Creation Date); User (Membership Duration, Number of Asker’s Answers, Number of Asker’s Questions, Number of Asker’s Accepted Answers, Sum of Asker’s Answers’ Scores,
Sum of Asker’s Questions’ Scores, Earned Scholar Badge, Earned Tumbleweed Badge, Earned Informed Badge, Earned Autobiographer Badge, Earned Student Badge, Earned Supporter Badge, Earned Editor Badge, Earned Commentator Badge, Earned Teacher Badge, Earned Analytical Badge, Earned Popular Question Badge, Earned Enthusiast Badge, Earned Custodian Badge, Earned Good Answer Badge, Earned Famous Question Badge, Earned Curious Badge, Earned Nice Answer Badge, Earned Yearling Badge, Earned Necromancer Badge, Earned Notable Question Badge)","Presentation and Structural Quality [Title Starts with a Capital Character, Number of Paragraphs, Has List (“<li>” in Body), Has Wh-word in Title, Is Title an Interrogative Sentence, “error”/“not working” in Title, Has Quote (“<quote>” in Body)];
Readability and Linguistic Complexity [Title AVG Word in Characters, Body AVG Word in Characters, Body AVG Sentence in Words, Body Word Count, Title Word Count, Body Sentence Count, Lines of Code, Code Snippets Length in Characters];
Community Engagement and Activity [Membership Duration, Number of Asker’s Answers, Number of Asker’s Questions, Number of Asker’s Accepted Answers];
Reputation and Social Authority [Sum of Asker’s Answers’ Scores, Sum of Asker’s Questions’ Scores, Earned Scholar Badge, Earned Tumbleweed Badge, Earned Informed Badge, Earned Autobiographer Badge, Earned Student Badge, Earned Supporter Badge, Earned Editor Badge, Earned Commentator Badge, Earned Teacher Badge, Earned Analytical Badge, Earned Popular Question Badge, Earned Enthusiast Badge, Earned Custodian Badge, Earned Good Answer Badge, Earned Famous Question Badge, Earned Curious Badge, Earned Nice Answer Badge, Earned Yearling Badge, Earned Necromancer Badge, Earned Notable Question Badge];
Post Popularity and Metadata [Question Creation Date, Number of Links, Number of Code Snippets, Tag Count];
Response Timing and Interaction [Asking Time (Day of the Week), Asking Time (Hour)];
Affect and Sentiment Analysis [];
Tag Relevance and Specificity [Max Tag Quality, AVG Tag Quality, Max Expert Ratio, Min Tag Quality, Max Problem Rate];"
S93,93,Beyond Relevance: Trustworthy Answer Selection via Consensus Verification,2021,Yahoo! Answers; Quora;  Amazon,relevance; trustworthiness;,"Content Accuracy and Informativeness [relevance, trustworthiness];"
S94,94,Recency and quality-based ranking question in CQAs: A Stack Overflow case study,2021,Stack Overflow,"Quality features - Textutal (Structure, Text size, Style and Legibility, Question similarity); Non-Textual Features (User, Reviews, Connectivity network, thread);   Age and user features  (re-edtAge, re-linkAge, re-tagAge, re-ageMerge);                                                                                                    ","Presentation and Structural Quality [Structure, Text size, Style and Legibility];
Clarity, Relevance, and Supporting Resources [Question similarity];
Community Engagement and Activity [Connectivity network, Thread, Reviews];
Reputation and Social Authority [User];
Response Timing and Interaction [re-edtAge, re-linkAge, re-tagAge, re-ageMerge];"
S95,95,How to Formulate Specific How-to Questions in Software Development?,2022,Stack Overflow,completeness; understandability; conciseness;,"Content Accuracy and Informativeness [completeness, understandability, conciseness];"
S96,96,PTM4Tag: Sharpening Tag Recommendation of Stack Overflow Posts with Pre-Trained Models,2022,Stack Overflow,N/A,Tag Relevance and Specificity [tags];
S97,97,A Study of C/C++ Code Weaknesses on Stack Overflow,2022,Stack Overflow,Common Weakness Enumeration (CWE); ,Content Accuracy and Informativeness [Common Weakness Enumeration (CWE)];
S98,98,An Empirical Study of C++ Vulnerabilities in Crowd-Sourced Code Examples,2022,Stack Overflow,Common Weakness Enumeration (CWE); ,Content Accuracy and Informativeness [Common Weakness Enumeration (CWE)];
S99,99,Ask It Right! Identifying Low-Quality questions on Community Question Answering Services,2022,Stack Overflow,"off-topic, unclear what you’re asking, primarily opinion-based, too broad","Content Accuracy and Informativeness [Off-topic, Primarily opinion-based, Too broad];
Clarity, Relevance, and Supporting Resources [Unclear what you’re asking];"
S100,100,Generating High Quality Titles in StackOverflow via Data Denoising Method,2022,Stack Overflow,N/A,"Clarity, Relevance, and Supporting Resources [relatedness];"
S101,101,Predicting Rollback Edits on Stack Overflow Based on Deep Fusion of Metadata and Text,2022,Stack Overflow,"Change (addedTextLines, deletedTextLines, addedCodeLines, deletedCodeLines); Post (postPriorEdit, postPriorRollback, postPriorRollbackProportion, postEditTime); Editor (userRegistrationDays, userPriorEdit, userDayEditCount, userPriorRollback, userPriorRollbackProportion, hasBadgeStrunkWhite, hasBadgeArchaeologist, hasBadgeCopyEditor); Comment (commentLength, hasClarifyExplain, hasCode, hasFixingImproving, hasFormatting, hasLinkImage, hasTypoGrammarSpelling)","Presentation and Structural Quality [HasFormatting];
Readability and Linguistic Complexity [CommentLength, HasTypoGrammarSpelling];
Content Accuracy and Informativeness [HasClarifyExplain, HasFixingImproving];
Clarity, Relevance, and Supporting Resources [HasLinkImage, HasCode];
Community Engagement and Activity [PostPriorEdit, PostPriorRollback, PostPriorRollbackProportion, UserPriorEdit, UserDayEditCount, UserPriorRollback, UserPriorRollbackProportion, AddedTextLines, DeletedTextLines, AddedCodeLines, DeletedCodeLines, UserRegistrationDays];
Reputation and Social Authority [HasBadgeStrunkWhite, HasBadgeArchaeologist, HasBadgeCopyEditor];
Response Timing and Interaction [PostEditTime];"
S102,102,SOTitle: A Transformer-based Post Title Generation Approach for Stack Overflow,2022,Stack Overflow,N/A,"Clarity, Relevance, and Supporting Resources [relatedness];"
S103,103,Is this question going to be closed? Answering question closibility on Stack Exchange,2022,Stack Exchange,"Asker features (Account age, Badge score); Community features (Post score, Reputation, Favourite count, Comment count, View count, Answer count, Upvotes, Down votes); Question content features (Number of URLs, Number of tags); Textual features (Question body length, Question title length, Number of special characters, Number of punctuation marks, Number of interrogative words)","Readability and Linguistic Complexity [Question body length, Question title length, Number of special characters, Number of punctuation marks, Number of interrogative words];
Clarity, Relevance, and Supporting Resources [Number of URLs];
Community Engagement and Activity [Account age, Favourite count, Comment count, View count, Answer count];
Reputation and Social Authority [Badge score, Reputation,  Upvotes, Downvotes, Post score];
Post Popularity and Metadata [Number of tags];"
S104,104,Improving Stack Overflow question title generation with copying enhanced CodeBERT model and bi-modal information,2022,Stack Overflow,Readability; Correlation; ,"Readability and Linguistic Complexity [Readability];
Content Accuracy and Informativeness [Correlation];"
S105,105,Analyzing Techniques for Duplicate Question Detection on Q&A Websites for Game Developers,2022,Stack Overflow; Game Development (Stack Excahnge),N/A,"Clarity, Relevance, and Supporting Resources [relatedness];"
S106,106,The reproducibility of programming-related issues in Stack Overflow questions,2022,Stack Overflow,reproducibility,Content Accuracy and Informativeness [reproducibility];
