Study#,SL,Title,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,EvaluationMetrics,Categorized_Methodology_Details,Year,Target Content,TargetContentNumeric,#OfMethods
S99,99,Ask It Right! Identifying Low-Quality questions on Community Question Answering Services,0,0,0,1,1,0,0,0,0,0,0,f1 score; kaplan-meier estimator; precision; recall;,"Quantitative and Statistical Analysis [applies survival analysis to model the time until question closure and to study how different tags and closure reasons influence question longevity]

Deep Learning (DL) / Transformer-Based Deep Learning [employs transformer-based semantic modeling combined with graph convolutional networks to jointly learn question–tag representations, and uses late fusion techniques for low-quality question detection]",2022,question,TC1,2
S100,100,Generating High Quality Titles in StackOverflow via Data Denoising Method,1,0,0,0,1,0,0,0,1,0,1,bleu; rouge;,"Machine Learning (ML) [applies a confidence-based clustering learning approach to group code snippets by functionality and estimate label reliability for filtering low-quality title–code pairs]

Deep Learning (DL) / Transformer-Based Deep Learning [uses transformer-based sequence generation models trained on denoised datasets to generate concise and semantically accurate question titles]

Heuristic and Rule-Based Approaches [employs heuristic data denoising and pruning strategies based on confidence thresholds to remove noisy or low-quality training instances]

Miscellaneous [uses cross-validation to estimate confidence distributions and evaluate the robustness of the denoising and title generation process]",2022,question title,TC4,4
S101,101,Predicting Rollback Edits on Stack Overflow Based on Deep Fusion of Metadata and Text,1,0,0,1,1,0,0,0,0,0,0,auc/roc/auc-roc; f1 score; precision; recall;,"Quantitative and Statistical Analysis
[Logistic regression–based empirical analysis to identify and interpret metadata factors significantly associated with rollback likelihood.]

Machine Learning (ML)
[Baseline predictive modeling using logistic regression trained on structured metadata features.]

Deep Learning (DL) / Transformer-Based Deep Learning
[Deep Fusion of Metadata and Text (DFMT) architecture combining BiLSTM-based textual encoders, CNN and attention-enhanced variants, and BERT representations with metadata via multi-head attention and global attention mechanisms.]",2022,answer; question,TC1&2,3
S102,102,SOTitle: A Transformer-based Post Title Generation Approach for Stack Overflow,1,1,0,0,1,0,0,0,1,0,0,bleu; human evaluation; meteor; rouge;,"Machine Learning (ML)
[Multi-task learning formulation that treats title generation for different programming languages as related tasks to improve generalization and shared representation learning.]

Deep Learning (DL) / Transformer-Based Deep Learning
[Transformer-based sequence-to-sequence model with multi-head attention, leveraging multi-modal inputs (problem description and code snippets) and beam search decoding to generate high-quality titles.]

Text Analysis and Natural Language Processing
[Subword-level tokenization using SentencePiece to handle vocabulary diversity and out-of-vocabulary terms across natural language and source code.]

Heuristic and Rule-Based Approaches
[Heuristic filtering rules to construct a high-quality training corpus by selecting well-scored questions with accepted answers and code snippets.]",2022,question title,TC4,4
S103,103,Is this question going to be closed? Answering question closibility on Stack Exchange,1,0,0,1,0,0,0,0,0,0,0,auc/roc/auc-roc; f1 score; precision; recall;,"Quantitative and Statistical Analysis
[Handling class imbalance between open and closed questions using synthetic minority over-sampling to improve classifier robustness.]

Machine Learning (ML)
[Supervised classification using Gradient Boosting, Naive Bayes, Logistic Regression, and Random Forest models trained on manually engineered textual and non-textual features.]",2022,question (closed),TC1,2
S104,104,Improving Stack Overflow question title generation with copying enhanced CodeBERT model and bi-modal information,0,0,1,0,1,0,0,0,0,0,0,bleu; rouge;,"Qualitative Analysis
[Manual human evaluation of generated titles using predefined readability and correlation criteria to complement automated metrics.]

Deep Learning (DL) / Transformer-Based Deep Learning
[Copying-enhanced CodeBERT (CCBERT) model based on an encoder–decoder Transformer architecture, incorporating bi-modal encoding of text and code, multi-head self-attention, and an explicit copy mechanism to handle rare and domain-specific tokens.]",2022,question title,TC4,2
S105,105,Analyzing Techniques for Duplicate Question Detection on Q&A Websites for Game Developers,1,0,0,1,1,1,0,0,0,0,0,,"Quantitative and Statistical Analysis
[Construction of balanced and representative datasets through controlled sampling of duplicate and non-duplicate question pairs from Stack Exchange data dumps.]

Machine Learning (ML)
[Supervised classification using a Random Forest model that combines multiple similarity scores to predict whether two questions are duplicates.]

Deep Learning (DL) / Transformer-Based Deep Learning
[Use of unsupervised and pre-trained language models, including MPNet sentence embeddings, to generate dense semantic representations of questions.]

Relevance, Ranking, and Evaluation
[Application of cosine similarity and recall-rate@k–based ranking evaluation to assess how effectively techniques surface true duplicate questions among top recommendations.]",2022,question (duplicate),TC1,4
S106,106,The reproducibility of programming-related issues in Stack Overflow questions,0,0,1,1,0,0,0,0,1,0,0,chi-squared test; cliff's delta; mann-whitney-wilcoxon test;,"Qualitative Analysis
[In-depth manual examination of question texts and code snippets, including systematic reproduction attempts and categorization of reproducibility status and underlying challenges.]

Quantitative and Statistical Analysis
[Statistical analysis of reproducibility rates across languages and correlation analysis between reproducibility status and answer-related meta-data such as accepted answers, response delay, and answer count.]

Heuristic and Rule-Based Approaches
[Rule-based classification of reproducibility outcomes using predefined criteria and editing-action taxonomies to distinguish reproducible and irreproducible issues.]",2022,question,TC1,3
S107,107,Studying the Long-Term Value Answers on Stack Overflow,1,0,1,1,0,0,0,0,0,0,0,auc/roc/auc-roc;,"Qualitative Analysis
[Manual categorization of questions associated with long-term value answers to identify thematic types (e.g., how-to, review, conceptual) that sustain usefulness over time.]

Quantitative and Statistical Analysis
[Exploratory and correlational analysis of temporal voting patterns and multivariate statistical modeling to distinguish long-term versus short-term value answers.]

Machine Learning (ML)
[Logistic regression modeling employed as an explanatory framework to quantify the association between answer-, question-, tag-, and user-related factors and long-term answer value.]",2022,answer,TC2,3
S108,108,Towards Quality Improvement and Prediction of Closed Questions on Stack Overflow,1,0,0,1,0,0,0,0,0,0,0,accuracy; f1 score; multi-class log loss (mll); precision; recall;,"Quantitative and Statistical Analysis
[Addressing severe class imbalance by combining SMOTE oversampling with random undersampling and Tomek-link–based data cleaning.]

Machine Learning (ML)
[Multi-class classification using XGBoost, Random Forest, and Vowpal Wabbit models to predict both question closure and its associated reason.]",2022,question (closed),TC1,2
S109,109,Context-Aware Answer Selection in Community Question Answering Exploiting Spatial Temporal Bidirectional Long Short-Term Memory,0,1,0,0,1,0,0,0,0,0,0,accuracy; f1 score; mean average precision (map); mean reciprocal rank; precision; recall;,"Deep Learning (DL) / Transformer-Based Deep Learning
[Spatial–temporal Bi-LSTM architecture that captures forward (question-to-answer) and backward (answer-to-answer) dependencies, followed by max-pooling and softmax layers for quality answer selection.]

Text Analysis and Natural Language Processing
[Extensive text preprocessing and semantic encoding, including tokenization, parsing, lemmatization, stop-word removal, POS tagging, named-entity extraction, and Par2Vec-based paragraph-level vector representations for context-aware modeling.]",2023,answer,TC2,2
S110,110,A novel hybrid CNN-LSTM approach for assessing Stack Overflow post quality,1,0,0,0,1,0,0,0,0,0,0,accuracy; f1 score; mann-whitney u-test results; precision; recall;,"Machine Learning (ML)
[Formulation of post quality assessment as a multi-class classification problem distinguishing very good, good, bad, and very bad questions.]

Deep Learning (DL) / Transformer-Based Deep Learning
[Hybrid Convolutional Neural Network–Long Short-Term Memory architecture in which CNN layers learn discriminative feature representations and LSTM layers capture sequential and long-range dependencies among extracted features.]",2023,question,TC1,2
S111,111,Diverse title generation for Stack Overflow posts with multiple-sampling-enhanced transformer,0,0,1,0,1,0,0,0,0,0,0,bleu; rouge;,"Qualitative Analysis
[Manual human evaluation involving experienced programmers who rate generated titles on readability, correlation, diversity, and usability, with inter-rater agreement analysis.]

Deep Learning (DL) / Transformer-Based Deep Learning
[M3NSCT5 framework built on a CodeT5 sequence-to-sequence Transformer backbone, enhanced with maximal marginal multiple nucleus sampling to jointly optimize title quality and diversity during decoding, and pre-trained on large-scale code corpora.]",2023,question title,TC4,2
S112,112,Dual-interactive fusion for code-mixed deep representation learning in tag recommendation,0,1,0,0,1,0,0,0,0,0,0,f1 score; precision; recall;,"Deep Learning (DL) / Transformer-Based Deep Learning
[CDR4Tag framework that integrates code-mixed deep representations using dual-interactive fusion, combining connective and separative semantic interaction modules with hierarchy-aware semantic learning and GraphCodeBERT-based code encoding.]

Text Analysis and Natural Language Processing
[Sentence-pair matching formulation that jointly encodes software objects and candidate tags to capture semantic correlations between descriptions, code snippets, and tags for recommendation.]",2023,tags,TC3,2
S113,113,KEIC: A Tag Recommendation Framework with Knowledge Enhancement and Interclass Correlation,1,1,0,0,1,0,0,0,0,0,0,f1 score; ndcg; precision; psp (propensity scored precision); recall;,"Machine Learning (ML)
[Multi-label classification baselines enhanced within the KEIC framework, including FastText-based models (KEIC-FastText) to assess gains from knowledge and correlation integration.]

Deep Learning (DL) / Transformer-Based Deep Learning
[KEIC framework instantiated with multiple encoders—KEIC-XML-CNN, KEIC-AttentionXML, and KEIC-BERT—that combine Transformer-based sequence encoding, correlation networks (CorNet) to capture interclass dependencies, and bottlenecked correlation stacks to control parameter growth.]

Text Analysis and Natural Language Processing
[Knowledge integration via knowledge graph augmentation (e.g., ConceptNet/CN-DBpedia) to inject entity-centric triples into inputs, coupled with sequence encoding and correlation capture to enhance semantic understanding and tag prediction.]",2023,tags,TC3,3
S114,114,Textual tag recommendation with multi-tag topical attention,1,1,0,0,1,1,0,0,0,0,0,cross-entropy loss; f1 score; precision; recall;,"Machine Learning (ML)
[End-to-end multi-task learning that jointly optimizes neural topic generation and tag ranking to balance topic discovery and tag prediction.]

Deep Learning (DL) / Transformer-Based Deep Learning
[Neural Topic Generator combined with a sequence encoder and a multi-tag topical attention mechanism, where dynamic neural topics guide tag-specific post representations for ranking.]

Text Analysis and Natural Language Processing
[Bag-of-Words (BoW) representations used for neural topic generation alongside sequential text encoding to capture both global topical signals and local semantic context.]

Relevance, Ranking, and Evaluation
[Multi-tag topical attention mechanism and a topic-guided tag ranker that produce tag-specific relevance scores, enabling effective ranking of candidate tags under long-tail distributions.]",2023,tags,TC3,4
S115,115,Duplicate Quora Questions Pair Detection using Siamese Bert and Ma-LSTM,0,1,0,0,1,1,0,0,0,0,0,accuracy; f1 score; precision; recall;,"Deep Learning (DL) / Transformer-Based Deep Learning
[Siamese neural network architectures employing pre-trained BERT encoders, Manhattan Distance LSTM (MaLSTM), and BiLSTM models to learn pairwise semantic similarity for duplicate detection.]

Text Analysis and Natural Language Processing
[Text preprocessing pipelines including tokenization, stopword removal, stemming or lemmatization, and representation learning via word embeddings such as Word2Vec and Google2Vec, alongside contextual embeddings from BERT.]

Relevance, Ranking, and Evaluation
[Similarity computation using cosine similarity between learned question embeddings, followed by threshold-based classification and evaluation using standard performance metrics.]",2023,question (duplicate),TC1,3
S116,116,Predicting answer acceptability for question-answering system,1,1,0,1,0,0,0,0,0,0,0,accuracy; auc/roc/auc-roc; f1 score; precision; recall;,"Quantitative and Statistical Analysis
[Mitigation of severe class imbalance between accepted and non-accepted answers using SMOTE-based oversampling and comparative statistical evaluation.]

Machine Learning (ML)
[Supervised classification using Naive Bayes, Random Forest, Logistic Regression, and Gradient Boosting models trained on combined textual and non-textual feature sets.]

Text Analysis and Natural Language Processing
[Data preprocessing including cleaning, normalization, stemming, lemmatization, and feature extraction from answer texts to support predictive modeling.]",2023,answer,TC2,3
S117,117,Automatic prediction of rejected edits in Stack Overflow,1,0,1,0,0,0,0,0,0,0,0,accuracy; f1 score; nasa tlx for workload; precision; recall;,"Qualitative Analysis
[Manual inspection and coding of rejected edits to derive a fine-grained taxonomy of rejection reasons and guide feature design.]

Machine Learning (ML)
[Supervised classification using Decision Trees, Random Forest, K-Nearest Neighbors, and eXtreme Gradient Boosting models trained on engineered text- and user-based features.]",2023,answer; question (rejected edits),TC1&2,2
S118,118,Automated Question Title Reformulation by Mining Modification Logs From Stack Overflow,0,1,1,0,1,0,0,0,0,0,0,bleu; consensus-based image description evaluation (cider); exact match (em); gleu; mean reciprocal rank; rouge;,"Deep Learning (DL) / Transformer-Based Deep Learning
[T5-based encoder–decoder Transformer fine-tuned for title reformulation, modeling the task as neural text-to-text generation with beam search decoding.]

Qualitative Analysis
[Formative qualitative analysis of title edit logs to identify common reformulation patterns, complemented by a human study evaluating readability, relevance, and usefulness of generated titles.]

Text Analysis and Natural Language Processing
[Mining and preprocessing of Stack Overflow modification logs, linguistic normalization, subword tokenization (SentencePiece), and multi-modal text modeling combining original titles and question bodies.]",2023,question title,TC4,3
S119,119,Is Stack Overflow Obsolete? An Empirical Study of the Characteristics of ChatGPT Answers to Stack Overflow Questions,0,1,1,0,1,0,0,0,0,0,0,fleiss's kappa (agreement); relative differences (rd); t-test;,"Text Analysis and Natural Language Processing
[Linguistic feature extraction and sentiment modeling using LIWC-based psycholinguistic analysis and a fine-tuned RoBERTa sentiment classifier.]

Qualitative Analysis
[In-depth manual coding of ChatGPT answers to develop a taxonomy of quality issues, complemented by a controlled user study and follow-up interviews with programmers.]

Deep Learning (DL) / Transformer-Based Deep Learning
[Application of a RoBERTa-based Transformer model for sentiment analysis to quantify affective differences between ChatGPT and human-written answers.]",2024,answer,TC2,3
S120,120,Identifying Smart Contract Security Issues in Code Snippets from Stack Overflow,0,0,1,0,0,0,0,0,0,1,0,f1 score; precision; recall;,"Qualitative Analysis
[User study involving smart contract developers to assess real-world practices, security awareness, and risks associated with reusing Stack Overflow code snippets.]

Generative AI / Foundation Models
[Fine-tuned Llama2-based large language model used for completing fragmented smart contract code snippets prior to vulnerability analysis, enabling downstream symbolic execution and pattern-based detection.]",2024,answer,TC2,2
S121,121,Can We Identify Stack Overflow Questions Requiring Code Snippets? Investigating the Cause & Effect of Missing Code Snippets,1,1,1,0,0,0,0,0,0,0,0,accuracy; chi-squared test; cliff's delta; cohen's kappa; f1 score; mann-whitney-wilcoxon test; precision; recall;,"Qualitative Analysis
[Manual inspection of question revision histories and comments to categorize code snippet presence, complemented by a practitioner survey to understand why users omit required code snippets.]

Machine Learning (ML)
[Supervised classification using Random Forest, XGBoost, Artificial Neural Network, Gaussian Naive Bayes, K-Nearest Neighbors, and Support Vector Machines to predict whether a question requires code snippets.]

Text Analysis and Natural Language Processing
[Extraction of text-based features such as keywords, POS-based patterns, sentence structures, and code-like elements from question titles and bodies to support automated prediction models.]",2024,question,TC1,3
S122,122,AUTOGENICS: Automated Generation of Context-Aware Inline Comments for Code Snippets on Programming Q&A Sites Using LLM,0,0,1,0,0,0,0,0,0,1,0,cohen's kappa;,"Qualitative Analysis
[Manual evaluation of LLM-generated inline comments using Likert-scale ratings, complemented by a practitioner user study with active Stack Overflow users to assess perceived effectiveness, usefulness, and demand for automated inline commenting tools.]

Generative AI / Foundation Models
[Use of large language models, primarily Gemini 1.5 Pro and GPT-4, for inline comment generation; AUTOGENICS enhances standard LLM outputs by incorporating question context and applying rule-based noise filtering to produce higher-quality, context-aware comments.]",2024,answer code snippet (documentation),TC2,2
S123,123,"Reproducibility of issues reported in stack overflow questions: Challenges, impact & estimation",1,0,1,1,0,0,0,0,0,0,0,accuracy; f1 score; precision; recall;,"Qualitative Analysis
[Practitioner survey and manual qualitative analysis to validate a catalog of reproducibility challenges, estimate their severity and impact on answering questions, and elicit requirements for tool support.]

Machine Learning (ML)
[Supervised classification using Random Forest, XGBoost, Artificial Neural Network, Naive Bayes, and K-Nearest Neighbors to predict reproducible vs. irreproducible issues based on extracted code features.]

Quantitative and Statistical Analysis
[Application of SMOTE oversampling to address class imbalance and statistical analyses to evaluate model performance and feature significance.]",2024,question (issues reproducibility of code snippets),TC1,3
S124,124,PTM4Tag+: Tag recommendation of stack overflow posts with pre-trained models,0,0,0,0,1,0,0,0,0,0,0,f1 score; precision; recall;,"Deep Learning (DL) / Transformer-Based Deep Learning
[Transformer-based multi-label classification framework with a triplet architecture that independently encodes title, description, and code using pre-trained models (BERT, RoBERTa, CodeBERT, BERTOverflow, ALBERT, PLBART, CoTexT, CodeT5) and their lightweight variants (DistilBERT, DistilRoBERTa, CodeBERT-small, CodeT5-small), followed by embedding concatenation and neural classification.]",2024,tags,TC3,1
S125,125,Towards Better Answers: Automated Stack Overflow Post Updating,0,0,1,0,0,0,0,0,0,1,0,exact match (em); f1 score; precision; recall;,"Qualitative Analysis
[Manual inspection of comment–edit pairs to define validity criteria, qualitative error analysis of generated updates, and in-the-wild evaluation via real Stack Overflow edit submissions reviewed by community maintainers.]

Generative AI / Foundation Models
[Fine-tuned CodeLlama with prompt learning and low-rank adaptation (LoRA) to (i) predict valid comment–edit pairs and (ii) generate updated code snippets conditioned on comments, evaluated against baselines including prompt-only LLMs.]",2025,answer,TC2,2
S126,126,Does Editing Improve Answer Quality on Stack Overflow? A Data-Driven  Investigation,0,0,0,1,0,0,0,0,0,0,0,cliff's delta; mann-whitney-wilcoxon test;,"Quantitative and Statistical Analysis
[Large-scale comparative analysis of initial vs. latest answer revisions using non-parametric statistical tests (Mann–Whitney–Wilcoxon), effect sizes (Cliff’s Delta), and objective static and dynamic code analysis across six quality dimensions.]",2025,answer,TC2,1
S127,127,Detecting question relatedness in programming Q&A communities via bimodal feature fusion,0,0,0,0,1,0,0,0,0,0,0,macro-f1; macro-precision; macro-recall;,"Deep Learning (DL) / Transformer-Based Deep Learning
[Bimodal feature fusion framework that integrates SOBERT for question text encoding and UniXcoder for code-aware representation learning, combining both modalities through neural fusion layers to predict question relatedness.]",2025,question (duplicate),TC1,1
